Using frequency 2.20GHz.
movzbl-r32_r8-TP:	0.286 (clock cycles)	[DEBUG - result: 1.000000]
dec-r32-TP:	0.345 (clock cycles)	[DEBUG - result: 1.000000]
mov-r32_r32-TP:	0.287 (clock cycles)	[DEBUG - result: 1.000000]
vmulpd-ymm_ymm_mem:	5.007 (clock cycles)	[DEBUG - result: inf]
vaddpd-ymm_ymm_ymm:	3.005 (clock cycles)	[DEBUG - result: inf]
movslq-r64_r32-TP:	0.345 (clock cycles)	[DEBUG - result: 1.000000]
vxorpd-ymm_ymm_ymm-TP:	0.258 (clock cycles)	[DEBUG - result: 1.000000]
cmp-r32_r32:	0.344 (clock cycles)	[DEBUG - result: 1.000000]
vmulsd-xmm_xmm_xmm-TP:	1.016 (clock cycles)	[DEBUG - result: 1.000000]
mov-r32_r32:	0.668 (clock cycles)	[DEBUG - result: 1.000000]
vxorps-xmm_xmm_xmm-TP:	0.258 (clock cycles)	[DEBUG - result: 1.000000]
neg-r32:	1.002 (clock cycles)	[DEBUG - result: 1.000000]
vaddsd-xmm_xmm_mem-TP:	1.016 (clock cycles)	[DEBUG - result: 1.000000]
vmovq-r64_xmm-TP:	1.002 (clock cycles)	[DEBUG - result: 1.000000]
vmulpd-ymm_ymm_ymm-TP:	1.016 (clock cycles)	[DEBUG - result: 1.000000]
vmovss-mem_xmm-TP:	1.002 (clock cycles)	[DEBUG - result: 1.000000]
mov-r32_mem-TP:	0.501 (clock cycles)	[DEBUG - result: 1.000000]
vmulpd-ymm_ymm_ymm:	5.007 (clock cycles)	[DEBUG - result: inf]
test-r32_r32:	0.346 (clock cycles)	[DEBUG - result: 1.000000]
xor-r32_r32-TP:	0.345 (clock cycles)	[DEBUG - result: 1.000000]
vmovupd-store-avx-TP:	2.005 (clock cycles)	[DEBUG - result: 0.000000]
cmp-r32_mem-TP:	0.501 (clock cycles)	[DEBUG - result: 1.000000]
mov-r64_mem-TP:	0.501 (clock cycles)	[DEBUG - result: 1.000000]
vmovapd-xmm_xmm:	0.681 (clock cycles)	[DEBUG - result: 2.000000]
vaddpd-xmm_xmm_xmm-TP:	1.014 (clock cycles)	[DEBUG - result: 1.000000]
sub-r32_r32-TP:	0.345 (clock cycles)	[DEBUG - result: 1.000000]
vmovss-xmm_mem:	0.516 (clock cycles)	[DEBUG - result: 0.000000]
add-r64_r64:	1.002 (clock cycles)	[DEBUG - result: 1.000000]
vmulsd-xmm_xmm_xmm:	5.007 (clock cycles)	[DEBUG - result: inf]
vmulss-xmm_xmm_xmm-TP:	1.016 (clock cycles)	[DEBUG - result: 1.000000]
mov-mem_r32-TP:	1.002 (clock cycles)	[DEBUG - result: 1.000000]
mov-mem_r64:	1.002 (clock cycles)	[DEBUG - result: 1.000000]
vmovsd-xmm_mem-TP:	0.507 (clock cycles)	[DEBUG - result: 1.000000]
vaddss-xmm_xmm_mem-TP:	1.017 (clock cycles)	[DEBUG - result: 1.000000]
vsubsd-xmm_xmm_xmm-TP:	1.014 (clock cycles)	[DEBUG - result: 1.000000]
vmovaps-xmm_xmm-TP:	0.860 (clock cycles)	[DEBUG - result: 1.000000]
movslq-r64_r32:	1.002 (clock cycles)	[DEBUG - result: 1.000000]
vmovss-mem_xmm:	1.002 (clock cycles)	[DEBUG - result: 1.000000]
inc-r32-TP:	0.344 (clock cycles)	[DEBUG - result: 1.000000]
vmovapd-xmm_xmm-TP:	0.856 (clock cycles)	[DEBUG - result: 1.000000]
vaddsd-xmm_xmm_xmm-TP:	1.014 (clock cycles)	[DEBUG - result: 1.000000]
vmovhpd-xmm_xmm_mem:	1.017 (clock cycles)	[DEBUG - result: 2.000000]
vxorps-xmm_xmm_xmm:	0.517 (clock cycles)	[DEBUG - result: inf]
vmovsd-xmm_xmm_xmm:	1.017 (clock cycles)	[DEBUG - result: 1.000000]
vaddsd-xmm_xmm_mem:	3.005 (clock cycles)	[DEBUG - result: 201061760.000000]
add-r32_mem-TP:	0.501 (clock cycles)	[DEBUG - result: 1.000000]
vmovupd-xmm_mem-TP:	0.509 (clock cycles)	[DEBUG - result: 1.000000]
mov-mem_r32:	1.002 (clock cycles)	[DEBUG - result: 1.000000]
inc-r64-TP:	0.355 (clock cycles)	[DEBUG - result: 1.000000]
neg-r32-TP:	0.344 (clock cycles)	[DEBUG - result: 1.000000]
vsubpd-ymm_ymm_ymm:	3.004 (clock cycles)	[DEBUG - result: -1.000000]
xor-r32_r32:	1.002 (clock cycles)	[DEBUG - result: 1.000000]
