instr,TP,LT,ports
sldt-mem,1.3333333333333333,None,"(1.3333333333333333,0.0,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333)"
sldt-,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
sldt-r32,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
sldtl-r32,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
sldt-r64,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
sldtq-r64,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
lgdt-mem,6.0,None,"(2.0,0.0,6.0,5.0,1.0,1.0,0.0)"
call-mem,1.0,None,"(0.0,0.0,0.0,1.0,1.0,1.0,1.0)"
call-r64,1.0,None,"(0.0,0.0,0.0,0.0,1.0,1.0,1.0)"
callq-r64,1.0,None,"(0.0,0.0,0.0,0.0,1.0,1.0,1.0)"
call-LBL,1.0,None,"(0.0,0.0,0.0,0.0,1.0,1.0,1.0)"
mov-LBL,24.166666666666664,None,"(11.166666666666666,0.0,8.666666666666666,0.0,1.0,1.0,24.166666666666664)"
mov-LBL,17.166666666666664,None,"(9.166666666666666,0.0,3.6666666666666665,0.0,0.0,0.0,17.166666666666664)"
jnle-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnle-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
wrmsr-,45.33333333333333,None,"(45.33333333333333,0.0,28.333333333333332,6.0,1.0,1.0,29.333333333333332)"
repe scasb-,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
jns-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jns-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jl-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jl-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnp-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnp-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnz-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnz-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnb-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnb-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jno-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jno-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnl-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnl-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
cmc-,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
xadd-mem_r8,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xaddb-mem_r8,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xadd-r8_r8,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xaddb-r8_r8,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
