instr,TP,LT,ports
xadd-mem,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xadd-mem_r32,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xaddl-mem_r32,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xadd-mem_r64,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xaddq-mem_r64,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xadd-,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xadd-r32_r32,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xaddl-r32_r32,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xadd-r64_r64,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xaddq-r64_r64,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
cmovbe-mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovbe-r32_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovbel-r32_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovbe-r64_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovbeq-r64_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovbe-,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovbe-r32_r32,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovbel-r32_r32,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovbe-r64_r64,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovbeq-r64_r64,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmp-mem_imd,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-r8_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpb-r8_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-mem_imd,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-mem_imd,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-mem_imd,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r32_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpl-r32_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r64_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpq-r64_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-mem_imd,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-mem_imd,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-mem_imd,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r32_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpl-r32_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r64_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpq-r64_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-mem_r8,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmpb-mem_r8,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-r8_r8,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpb-r8_r8,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-mem_r32,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmpl-mem_r32,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-mem_r64,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmpq-mem_r64,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r32_r32,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpl-r32_r32,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r64_r64,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpq-r64_r64,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r8_mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmpb-r8_mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-r32_mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmpl-r32_mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-r64_mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmpq-r64_mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333)"
cmp-r8_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpb-r8_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r32_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpl-r32_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r64_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpq-r64_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmovle-mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovle-r32_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovlel-r32_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovle-r64_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovleq-r64_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovle-,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovle-r32_r32,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovlel-r32_r32,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovle-r64_r64,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovleq-r64_r64,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
lsl-mem,16.5,None,"(16.5,0.0,16.0,5.0,0.0,0.0,2.5)"
lsl-r32_mem,16.5,None,"(16.5,0.0,16.0,5.0,0.0,0.0,2.5)"
lsl-r64_mem,16.5,None,"(16.5,0.0,16.0,5.0,0.0,0.0,2.5)"
lslq-r64_mem,16.5,None,"(16.5,0.0,16.0,5.0,0.0,0.0,2.5)"
lsl-,4.833333333333333,None,"(2.833333333333333,0.0,2.333333333333333,4.0,0.0,0.0,4.833333333333333)"
lsl-r32_r32,4.833333333333333,None,"(2.833333333333333,0.0,2.333333333333333,4.0,0.0,0.0,4.833333333333333)"
lsl-r64_r32,4.833333333333333,None,"(2.833333333333333,0.0,2.333333333333333,4.0,0.0,0.0,4.833333333333333)"
lahf-,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cbw-,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
not-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
not-r8,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
notb-r8,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
not-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
not-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
not-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
not-,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
not-r32,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
notl-r32,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
not-r64,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
notq-r64,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
nop-,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
nop-r32,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
nopl-r32,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
nop-r64,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
nopq-r64,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
nop-mem,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
nop-mem,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
nop-mem,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
nop-,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
inc-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
inc-r8,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
incb-r8,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
inc-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
inc-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
inc-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
inc-,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
inc-r32,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
incl-r32,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
inc-r64,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
incq-r64,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpsw-,2.0,None,"(1.0,0.0,1.0,2.0,0.0,0.0,1.0)"
lock adc-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adc-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adc-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adc-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adc-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adc-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adc-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adc-mem_r8,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adcb-mem_r8,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adc-mem,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adc-mem_r32,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adcl-mem_r32,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adc-mem_r64,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
lock adcq-mem_r64,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
cmpsb-,2.0,None,"(1.0,0.0,1.0,2.0,0.0,0.0,1.0)"
cmpsd-,2.0,None,"(1.0,0.0,1.0,2.0,0.0,0.0,1.0)"
setb-mem,1.0,None,"(0.5,0.0,0.0,0.0,1.0,1.0,0.5)"
setb-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5)"
setl-mem,1.0,None,"(0.5,0.0,0.0,0.0,1.0,1.0,0.5)"
setl-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5)"
setlb-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5)"
seto-mem,1.0,None,"(0.5,0.0,0.0,0.0,1.0,1.0,0.5)"
seto-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5)"
setob-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5)"
bsr-mem,1.0,None,"(0.0,0.0,1.0,1.0,0.0,0.0,0.0)"
bsr-r32_mem,1.0,None,"(0.0,0.0,1.0,1.0,0.0,0.0,0.0)"
bsrl-r32_mem,1.0,None,"(0.0,0.0,1.0,1.0,0.0,0.0,0.0)"
bsr-r64_mem,1.0,None,"(0.0,0.0,1.0,1.0,0.0,0.0,0.0)"
bsrq-r64_mem,1.0,None,"(0.0,0.0,1.0,1.0,0.0,0.0,0.0)"
bsr-,1.0,None,"(0.0,0.0,1.0,0.0,0.0,0.0,0.0)"
bsr-r32_r32,1.0,None,"(0.0,0.0,1.0,0.0,0.0,0.0,0.0)"
bsrl-r32_r32,1.0,None,"(0.0,0.0,1.0,0.0,0.0,0.0,0.0)"
bsr-r64_r64,1.0,None,"(0.0,0.0,1.0,0.0,0.0,0.0,0.0)"
bsrq-r64_r64,1.0,None,"(0.0,0.0,1.0,0.0,0.0,0.0,0.0)"
setp-mem,1.0,None,"(0.5,0.0,0.0,0.0,1.0,1.0,0.5)"
setp-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5)"
setpb-r8,0.5,None,"(0.5,0.0,0.0,0.0,0.0,0.0,0.5)"
lock dec-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
lock dec-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
lock dec-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
lock dec-mem,1.0,None,"(0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333)"
out-imd_r8,2.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,2.0)"
outb-imd_r8,2.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,2.0)"
out-imd_r32,2.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,2.0)"
outl-imd_r32,2.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,2.0)"
out-r16_r8,2.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,2.0)"
out-r16_r32,2.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,2.0)"
call far-mem,1.0,None,"(0.0,0.0,0.0,1.0,1.0,1.0,1.0)"
cmovnle-mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovnle-r32_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovnlel-r32_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovnle-r64_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovnleq-r64_mem,1.0,None,"(0.5,0.0,0.0,1.0,0.0,0.0,0.5)"
cmovnle-,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovnle-r32_r32,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovnlel-r32_r32,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovnle-r64_r64,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
cmovnleq-r64_r64,0.8333333333333333,None,"(0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333333)"
sbb-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-r8_imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-r32_imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbbl-r32_imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-r64_imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbbq-r64_imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-mem_imd,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-r32_imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbbl-r32_imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-r64_imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbbq-r64_imd,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-mem_r8,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-r8_r8,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-mem,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-mem_r32,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbbl-mem_r32,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-mem_r64,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbbq-mem_r64,1.0,None,"(1.0,0.0,1.0,1.0,1.0,1.0,1.0)"
sbb-,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-r32_r32,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbbl-r32_r32,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-r64_r64,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbbq-r64_r64,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
sbb-r8_mem,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666)"
sbb-mem,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666)"
sbb-r32_mem,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666)"
sbbl-r32_mem,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666)"
