instr,TP,LT,ports
sldt-mem,3.3333333333333335,None,"(0.3333333333333333,0.0,1.3333333333333333,0.5,0.5,1.0,3.3333333333333335)"
sldt-,2.3333333333333335,None,"(0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,2.3333333333333335)"
sldt-r32,2.3333333333333335,None,"(0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,2.3333333333333335)"
sldtl-r32,2.3333333333333335,None,"(0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,2.3333333333333335)"
sldt-r64,2.3333333333333335,None,"(0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,2.3333333333333335)"
sldtq-r64,2.3333333333333335,None,"(0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,2.3333333333333335)"
lgdt-mem,11.0,None,"(2.0,0.0,2.0,0.0,0.0,1.0,11.0)"
call-mem,1.0,None,"(0.0,0.0,0.0,1.0,1.0,1.0,1.0)"
call-r64,1.0,None,"(0.0,0.0,0.0,0.5,0.5,1.0,1.0)"
callq-r64,1.0,None,"(0.0,0.0,0.0,0.5,0.5,1.0,1.0)"
call-LBL,1.0,None,"(0.0,0.0,0.0,0.5,0.5,1.0,1.0)"
mov-LBL,24.0,None,"(15.5,0.0,6.5,0.0,0.0,1.0,24.0)"
mov-LBL,15.0,None,"(10.5,0.0,3.5,0.0,0.0,0.0,15.0)"
jnle-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnle-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
wrmsr-,54.5,None,"(33.0,0.0,19.5,0.0,0.0,1.0,54.5)"
repe scasb-,0.6666666666666666,None,"(0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666)"
jns-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jns-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jl-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jl-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnp-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnp-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnz-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnz-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnb-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnb-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jno-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jno-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnl-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
jnl-LBL,1.0,None,"(0.0,0.0,0.0,0.0,0.0,0.0,1.0)"
cmc-,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
xadd-mem_r8,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xaddb-mem_r8,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xadd-r8_r8,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xaddb-r8_r8,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xadd-mem,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xadd-mem_r32,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xaddl-mem_r32,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xadd-mem_r64,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xaddq-mem_r64,1.0,None,"(0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666)"
xadd-,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xadd-r32_r32,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xaddl-r32_r32,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xadd-r64_r64,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
xaddq-r64_r64,1.0,None,"(1.0,0.0,1.0,0.0,0.0,0.0,1.0)"
cmovbe-mem,1.3333333333333333,None,"(1.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,1.3333333333333333)"
cmovbe-r32_mem,1.3333333333333333,None,"(1.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,1.3333333333333333)"
cmovbel-r32_mem,1.3333333333333333,None,"(1.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,1.3333333333333333)"
cmovbe-r64_mem,1.3333333333333333,None,"(1.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,1.3333333333333333)"
cmovbeq-r64_mem,1.3333333333333333,None,"(1.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,1.3333333333333333)"
cmovbe-,1.3333333333333333,None,"(1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333)"
cmovbe-r32_r32,1.3333333333333333,None,"(1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333)"
cmovbel-r32_r32,1.3333333333333333,None,"(1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333)"
cmovbe-r64_r64,1.3333333333333333,None,"(1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333)"
cmovbeq-r64_r64,1.3333333333333333,None,"(1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333)"
cmp-mem_imd,0.5,None,"(0.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333)"
cmp-r8_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpb-r8_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-mem_imd,0.5,None,"(0.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333)"
cmp-mem_imd,0.5,None,"(0.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333)"
cmp-mem_imd,0.5,None,"(0.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333)"
cmp-imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r32_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpl-r32_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-r64_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmpq-r64_imd,0.3333333333333333,None,"(0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333)"
cmp-mem_imd,0.5,None,"(0.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333)"
cmp-mem_imd,0.5,None,"(0.3333333333333333,0.0,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333)"
