instr,TP,LT,ports
cmp-r32_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmpl-r32_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-r64_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmpq-r64_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-mem_imd,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-mem_imd,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-mem_imd,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-r32_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmpl-r32_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-r64_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmpq-r64_imd,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-mem_r8,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmpb-mem_r8,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-r8_r8,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmpb-r8_r8,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-mem,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-mem_r32,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmpl-mem_r32,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-mem_r64,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmpq-mem_r64,0.5,None,"(0.25,0.25,0.5,0.5,0.0,0.25,0.25,0.0)"
cmp-,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-r32_r32,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmpl-r32_r32,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
cmp-r64_r64,0.25,None,"(0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0)"
